companyname companyname firstname_lastname
J.P._Morgan_Chase Exxon-Mobil Lee_R._Raymond
Duke_Energy Exxon-Mobil William_T._Esrey
Sprint Exxon-Mobil William_T._Esrey
AT*T Exxon-Mobil Donald_V._Fites
Georgia-Pacific Exxon-Mobil Donald_V._Fites
Caterpillar Exxon-Mobil Donald_V._Fites
SBC_Communications Exxon-Mobil Jess_Hay
Bristol-Myers_Squibb Exxon-Mobil Charles_A._Heimbold_Jr.
MetLife Exxon-Mobil James_R._Houghton
Verizon_Communications Exxon-Mobil Helene_L._Kaplan
J.P._Morgan_Chase Exxon-Mobil Helene_L._Kaplan
MetLife Exxon-Mobil Helene_L._Kaplan
Wells_Fargo Exxon-Mobil Reatha_Clark_King
Verizon_Communications Exxon-Mobil Walter_V._Shipley
Fannie_Mae Wal-Mart_Stores Stephen_Friedman
Goldman_Sachs_Group General_Motors John_H._Bryan
Bank_One_Corp. General_Motors John_H._Bryan
AT*T General_Motors George_M.C._Fisher
Procter_and_Gamble General_Motors John_F._Smith,_Jr.
J.P._Morgan_Chase General_Motors Lloyd_D._Ward
Utilicorp Ford_Motor Irvine_O._Hockaday,_Jr.
Sprint Ford_Motor Irvine_O._Hockaday,_Jr.
McKesson_HBOC Ford_Motor Carl_E._Reichardt
ConAgra Ford_Motor Carl_E._Reichardt
PG*E_Corp. Ford_Motor Carl_E._Reichardt
Citigroup Ford_Motor Robert_E._Rubin
Goldman_Sachs_Group Ford_Motor John_L._Thornton
Honeywell_International General_Electric Ann_M._Fudge
Home_Depot General_Electric _Kenneth_G._Langone
Texaco General_Electric Sam_Nunn
Dell_Computer General_Electric Sam_Nunn
Coca-Cola General_Electric Sam_Nunn
Delphi_Automotive_Systems General_Electric Roger_S._Penske
Honeywell_International General_Electric Andrew_C._Sigler
J.P._Morgan_Chase General_Electric Douglas_A._Warner_III
AT*T Citigroup C._Michael_Armstrong
E.I._du_Pont_de_Nemours Citigroup Alain_J.P._Belda
Alcoa Citigroup Alain_J.P._Belda
Microsoft Citigroup Kenneth_J._Bialkin
AT*T Citigroup Kenneth_T._Derr
Lucent_Technologies Citigroup Franklin_A._Thomas
Conoco Citigroup Franklin_A._Thomas
Alcoa Citigroup Franklin_A._Thomas
PepsiCo Citigroup Franklin_A._Thomas
AT*T Citigroup Sanford_I._Weill
Ford_Motor Citigroup Robert_E._Rubin
Compaq_Computer Enron Kenneth_L._Lay
Motorola Enron Ronnie_C._Chan
State_Farm_Insurance_Cos. Enron Wendy_L._Gramm
Lockheed_Martin Enron Frank_Savage
Bristol-Myers_Squibb Intl._Business_Machines Louis_V._Gerstner,_Jr.
Coca-Cola Intl._Business_Machines Cathleen_Black
American_Express Intl._Business_Machines Kenneth_I._Chenault
SBC_Communications Intl._Business_Machines Charles_F._Knight
Morgan_Stanley_Dean_Witter Intl._Business_Machines Charles_F._Knight
Philip_Morris Intl._Business_Machines Lucio_A._Noto
E.I._du_Pont_de_Nemours Intl._Business_Machines Charles_M._Vest
Georgia-Pacific AT*T John_D._Zeglis
Sara_Lee AT*T John_D._Zeglis
International_Paper AT*T Donald_F._McHenry
FleetBoston_Financial AT*T Donald_F._McHenry
Coca-Cola AT*T Donald_F._McHenry
Citigroup AT*T Sanford_I._Weill
Citigroup AT*T C._Michael_Armstrong
Citigroup AT*T Kenneth_T._Derr
General_Motors AT*T George_M.C._Fisher
Exxon-Mobil AT*T Donald_V._Fites
Georgia-Pacific AT*T Donald_V._Fites
Caterpillar AT*T Donald_V._Fites
First_Union_Corp. Verizon_Communications Joseph_Neubauer
Freddie_Mac Verizon_Communications Russell_E._Palmer
Honeywell_International Verizon_Communications Russell_E._Palmer
Sears_Roebuck Verizon_Communications Hugh_B._Price
MetLife Verizon_Communications Hugh_B._Price
USX Verizon_Communications John_W._Snow
J.P._Morgan_Chase Verizon_Communications John_R._Stafford
Honeywell_International Verizon_Communications John_R._Stafford
Procter_and_Gamble Verizon_Communications Robert_D._Storey
Exxon-Mobil Verizon_Communications Helene_L._Kaplan
J.P._Morgan_Chase Verizon_Communications Helene_L._Kaplan
MetLife Verizon_Communications Helene_L._Kaplan
Exxon-Mobil Verizon_Communications Walter_V._Shipley
Georgia-Pacific Philip_Morris Jane_Evans
SBC_Communications Philip_Morris Carlos_Slim_Helu
Intl._Business_Machines Philip_Morris Lucio_A._Noto
Merck J.P._Morgan_Chase William_B._Harrison,_Jr.
Honeywell_International J.P._Morgan_Chase Hans_W._Becherer
Merck J.P._Morgan_Chase Lawrence_A._Bossidy
Motorola J.P._Morgan_Chase H._Laurance_Fuller
American_International_Group J.P._Morgan_Chase Ellen_V._Futter
Bristol-Myers_Squibb J.P._Morgan_Chase Ellen_V._Futter
Dell_Computer J.P._Morgan_Chase William_H._Gray_III
Prudential_Ins._Co._of_America J.P._Morgan_Chase William_H._Gray_III
Procter_and_Gamble J.P._Morgan_Chase Marina_V._Whitman
Alcoa J.P._Morgan_Chase Marina_V._Whitman
Exxon-Mobil J.P._Morgan_Chase Helene_L._Kaplan
Verizon_Communications J.P._Morgan_Chase Helene_L._Kaplan
MetLife J.P._Morgan_Chase Helene_L._Kaplan
Exxon-Mobil J.P._Morgan_Chase Lee_R._Raymond
Verizon_Communications J.P._Morgan_Chase John_R._Stafford
Honeywell_International J.P._Morgan_Chase John_R._Stafford
General_Motors J.P._Morgan_Chase Lloyd_D._Ward
General_Electric J.P._Morgan_Chase Douglas_A._Warner_III
Sara_Lee Bank_of_America_Corp. Charles_W._Coker
BellSouth Bank_of_America_Corp. Kathleen_F._Feldstein,_Ph.D.
Motorola Bank_of_America_Corp. Walter_E._Massey,_Ph.D.
Target Bank_of_America_Corp. Solomon_D._Trujillo
PepsiCo Bank_of_America_Corp. Solomon_D._Trujillo
International_Paper SBC_Communications James_A._Henderson
Procter_and_Gamble SBC_Communications Lynn_M._Martin
Freddie_Mac SBC_Communications John_B._McCoy
Cardinal_Health SBC_Communications John_B._McCoy
PG*E_Corp. SBC_Communications Mary_S._Metz
Morgan_Stanley_Dean_Witter SBC_Communications Laura_D._Tyson
Exxon-Mobil SBC_Communications Jess_Hay
Philip_Morris SBC_Communications Carlos_Slim_Helu
Intl._Business_Machines SBC_Communications Charles_F._Knight
Morgan_Stanley_Dean_Witter SBC_Communications Charles_F._Knight
Hewlett-Packard The_Boeing_Company Philip_M._Condit
Fannie_Mae The_Boeing_Company Kenneth_M._Duberstein
Conoco The_Boeing_Company Kenneth_M._Duberstein
Albertsons The_Boeing_Company John_B._Fery
Sara_Lee The_Boeing_Company Rozanne_L._Ridgway
International_Paper Texaco Robert_J._Eaton
International_Paper Texaco Charles_R._Shoemate
Kmart Texaco Robin_B._Smith
BellSouth Texaco Robin_B._Smith
MetLife Texaco William_C._Steere,_Jr.
General_Electric Texaco Sam_Nunn
Dell_Computer Texaco Sam_Nunn
Coca-Cola Texaco Sam_Nunn
First_Union_Corp. Duke_Energy G._Alex_Bernhardt,_Sr.
First_Union_Corp. Duke_Energy Robert_J._Brown
AutoNation Duke_Energy Robert_J._Brown
AutoNation Duke_Energy George_D._Johnson,_Jr.
Exxon-Mobil Duke_Energy William_T._Esrey
Sprint Duke_Energy William_T._Esrey
BellSouth Kroger_Company Reuben_V._Anderson
Home_Depot Kroger_Company John_L._Clendenin
Honeywell_International Kroger_Company Bruce_Karatz
Allstate Kroger_Company Edward_M._Liddy
Merck Hewlett-Packard Carleton_S._Fiorina
Chevron Hewlett-Packard Sam_Ginn
The_Boeing_Company Hewlett-Packard Philip_M._Condit
Dynegy Chevron Richard_H._Matzke
American_International_Group Chevron Carla_A._Hills
Lucent_Technologies Chevron Carla_A._Hills
Wells_Fargo Chevron Chang-Lin_Tien
Lucent_Technologies Chevron John_A._Young
Hewlett-Packard Chevron Sam_Ginn
Enron State_Farm_Insurance_Cos. Wendy_L._Gramm
J.P._Morgan_Chase American_International_Group Ellen_V._Futter
Bristol-Myers_Squibb American_International_Group Ellen_V._Futter
Chevron American_International_Group Carla_A._Hills
Lucent_Technologies American_International_Group Carla_A._Hills
Kroger_Company Home_Depot John_L._Clendenin
PG*E_Corp. Home_Depot William_S._Davila
General_Electric Home_Depot _Kenneth_G._Langone
AMR Morgan_Stanley_Dean_Witter Philip_J._Purcell
Allstate Morgan_Stanley_Dean_Witter Edward_A._Brennan
AMR Morgan_Stanley_Dean_Witter Edward_A._Brennan
Intl._Business_Machines Morgan_Stanley_Dean_Witter Charles_F._Knight
SBC_Communications Morgan_Stanley_Dean_Witter Charles_F._Knight
Sears_Roebuck Morgan_Stanley_Dean_Witter Michael_A._Miles
Dell_Computer Morgan_Stanley_Dean_Witter Michael_A._Miles
Allstate Morgan_Stanley_Dean_Witter Michael_A._Miles
AMR Morgan_Stanley_Dean_Witter Michael_A._Miles
SBC_Communications Morgan_Stanley_Dean_Witter Laura_D._Tyson
Pfizer Merrill_Lynch George_B._Harvey
Honeywell_International Merrill_Lynch Robert_P._Luciano
MetLife Merrill_Lynch John_J._Phelan,_Jr.
Pfizer Fannie_Mae Franklin_D._Raines
PepsiCo Fannie_Mae Franklin_D._Raines
The_Boeing_Company Fannie_Mae Kenneth_M._Duberstein
Conoco Fannie_Mae Kenneth_M._Duberstein
Wal-Mart_Stores Fannie_Mae Stephen_Friedman
CVS Fannie_Mae Thomas_P._Gerrity
AMR Fannie_Mae Ann_McLaughlin
Dynegy Compaq_Computer Michael_D._Capellas
Enron Compaq_Computer Kenneth_L._Lay
Alcoa Lucent_Technologies Henry_B._Schacht
Sara_Lee Lucent_Technologies Paul_A._Allaire
Chevron Lucent_Technologies Carla_A._Hills
American_International_Group Lucent_Technologies Carla_A._Hills
Citigroup Lucent_Technologies Franklin_A._Thomas
Conoco Lucent_Technologies Franklin_A._Thomas
Alcoa Lucent_Technologies Franklin_A._Thomas
PepsiCo Lucent_Technologies Franklin_A._Thomas
Chevron Lucent_Technologies John_A._Young
Allstate Sears_Roebuck Warren_L._Batts
Sprint Sears_Roebuck Warren_L._Batts
Dell_Computer Sears_Roebuck Donald_J._Carty
AMR Sears_Roebuck Donald_J._Carty
Allstate Sears_Roebuck W._James_Farrell
Morgan_Stanley_Dean_Witter Sears_Roebuck Michael_A._Miles
Dell_Computer Sears_Roebuck Michael_A._Miles
Allstate Sears_Roebuck Michael_A._Miles
AMR Sears_Roebuck Michael_A._Miles
Verizon_Communications Sears_Roebuck Hugh_B._Price
MetLife Sears_Roebuck Hugh_B._Price
Microsoft Merck Raymond_V._Gilmartin
J.P._Morgan_Chase Merck Lawrence_A._Bossidy
TIAA-CREF Merck William_G._Bowen
American_Express Merck William_G._Bowen
First_Union_Corp. Merck Erskine_B._Bowles
Hewlett-Packard Merck Carleton_S._Fiorina
J.P._Morgan_Chase Merck William_B._Harrison,_Jr.
Bank_One_Corp. Merck Heidi_Miller,_Ph.D.
Motorola Procter_and_Gamble John_E._Pepper
Lockheed_Martin Procter_and_Gamble Norman_R._Augustine
Phillips_Petroleum Procter_and_Gamble Norman_R._Augustine
Alcoa Procter_and_Gamble Joesph_T._Gorman
USX Procter_and_Gamble Charles_R._Lee
SBC_Communications Procter_and_Gamble Lynn_M._Martin
General_Motors Procter_and_Gamble John_F._Smith,_Jr.
Verizon_Communications Procter_and_Gamble Robert_D._Storey
J.P._Morgan_Chase Procter_and_Gamble Marina_V._Whitman
Alcoa Procter_and_Gamble Marina_V._Whitman
Merck TIAA-CREF William_G._Bowen
American_Express TIAA-CREF William_G._Bowen
Pfizer TIAA-CREF Stanley_O._Ikenberry,_Ph.D.
Utilicorp TIAA-CREF Stanley_O._Ikenberry,_Ph.D.
Prudential_Ins._Co._of_America TIAA-CREF Paul_A._Volcker
Enron Motorola Ronnie_C._Chan
J.P._Morgan_Chase Motorola H._Laurance_Fuller
Dell_Computer Motorola Judy_C._Lewent
Bank_of_America_Corp. Motorola Walter_E._Massey,_Ph.D.
Procter_and_Gamble Motorola John_E._Pepper
Intel McKesson_HBOC David_S._Pottruck
Ford_Motor McKesson_HBOC Carl_E._Reichardt
ConAgra McKesson_HBOC Carl_E._Reichardt
PG*E_Corp. McKesson_HBOC Carl_E._Reichardt
Intel McKesson_HBOC Jane_E._Shaw
Caterpillar Kmart Lilyan_H._Affinito
Dow_Chemical Kmart Willie_D._Davis
Sara_Lee Kmart Willie_D._Davis
International_Paper Kmart Robert_D._Kennedy
Texaco Kmart Robin_B._Smith
BellSouth Kmart Robin_B._Smith
PepsiCo Target Roger_A._Enrico
Goldman_Sachs_Group Target James_A._Johnson
UnitedHealth_Group Target James_A._Johnson
Wells_Fargo Target Richard_M._Kovacevich
Bank_of_America_Corp. Target Solomon_D._Trujillo
PepsiCo Target Solomon_D._Trujillo
The_Boeing_Company Albertsons John_B._Fery
Procter_and_Gamble USX Charles_R._Lee
Verizon_Communications USX John_W._Snow
Lockheed_Martin USX Douglas_C._Yearley
Coca-Cola Berkshire_Hathaway Warren_E._Buffett
Costco_Wholesale Berkshire_Hathaway Charles_T._Munger
Goldman_Sachs_Group Intel John_P._Browne
McKesson_HBOC Intel David_S._Pottruck
McKesson_HBOC Intel Jane_E._Shaw
Ford_Motor Goldman_Sachs_Group John_L._Thornton
Intel Goldman_Sachs_Group John_P._Browne
General_Motors Goldman_Sachs_Group John_H._Bryan
Bank_One_Corp. Goldman_Sachs_Group John_H._Bryan
Target Goldman_Sachs_Group James_A._Johnson
UnitedHealth_Group Goldman_Sachs_Group James_A._Johnson
MetLife Goldman_Sachs_Group Ruth_J._Simmons,_Ph.D.
Pfizer Goldman_Sachs_Group Ruth_J._Simmons,_Ph.D.
Pfizer J.C._Penney M._Anthony_Burns
Ingram_Micro J.C._Penney Kent_B._Foster
New_York_Life_Insurance J.C._Penney Kent_B._Foster
American_Express J.C._Penney Vernon_E._Jordan,_Jr.
Sara_Lee J.C._Penney Vernon_E._Jordan,_Jr.
International_Paper J.C._Penney Jane_C._Pfeiffer
The_Boeing_Company Conoco Kenneth_M._Duberstein
Fannie_Mae Conoco Kenneth_M._Duberstein
E.I._du_Pont_de_Nemours Conoco William_K._Reilly
Citigroup Conoco Franklin_A._Thomas
Lucent_Technologies Conoco Franklin_A._Thomas
Alcoa Conoco Franklin_A._Thomas
PepsiCo Conoco Franklin_A._Thomas
Berkshire_Hathaway Costco_Wholesale Charles_T._Munger
Caterpillar Safeway Peter_A._Magowan
Dow_Chemical MetLife John_C._Danforth
Exxon-Mobil MetLife James_R._Houghton
Pfizer MetLife Harry_P._Kamen
Exxon-Mobil MetLife Helene_L._Kaplan
