personid	firstname	lastname	id	id	companyname	companyname
1	Lee R.	Raymond	12	1	J.P. Morgan Chase	Exxon-Mobil
3	William T.	Esrey	17	1	Duke Energy	Exxon-Mobil
3	William T.	Esrey	75	1	Sprint	Exxon-Mobil
4	Donald V.	Fites	9	1	AT*T	Exxon-Mobil
4	Donald V.	Fites	84	1	Georgia-Pacific	Exxon-Mobil
4	Donald V.	Fites	99	1	Caterpillar	Exxon-Mobil
5	Jess	Hay	14	1	SBC Communications	Exxon-Mobil
6	Charles A.	Heimbold Jr.	88	1	Bristol-Myers Squibb	Exxon-Mobil
7	James R.	Houghton	47	1	MetLife	Exxon-Mobil
9	Helene L.	Kaplan	10	1	Verizon Communications	Exxon-Mobil
9	Helene L.	Kaplan	12	1	J.P. Morgan Chase	Exxon-Mobil
9	Helene L.	Kaplan	47	1	MetLife	Exxon-Mobil
10	Reatha	Clark King	62	1	Wells Fargo	Exxon-Mobil
16	Walter V.	Shipley	10	1	Verizon Communications	Exxon-Mobil
18	Stephen	Friedman	26	2	Fannie Mae	Wal-Mart Stores
33	John H.	Bryan	42	3	Goldman Sachs Group	General Motors
33	John H.	Bryan	70	3	Bank One Corp.	General Motors
35	George M.C.	Fisher	9	3	AT*T	General Motors
41	John F.	Smith, Jr.	31	3	Procter and Gamble	General Motors
43	Lloyd D.	Ward	12	3	J.P. Morgan Chase	General Motors
49	Irvine O.	Hockaday, Jr.	60	4	Utilicorp	Ford Motor
49	Irvine O.	Hockaday, Jr.	75	4	Sprint	Ford Motor
55	Carl E.	Reichardt	35	4	McKesson HBOC	Ford Motor
55	Carl E.	Reichardt	68	4	ConAgra	Ford Motor
55	Carl E.	Reichardt	82	4	PG*E Corp.	Ford Motor
56	Robert E.	Rubin	6	4	Citigroup	Ford Motor
57	John L.	Thornton	42	4	Goldman Sachs Group	Ford Motor
62	Ann M.	Fudge	71	5	Honeywell International	General Electric
66	 Kenneth G.	Langone	23	5	Home Depot	General Electric
70	Sam	Nunn	16	5	Texaco	General Electric
70	Sam	Nunn	48	5	Dell Computer	General Electric
70	Sam	Nunn	93	5	Coca-Cola	General Electric
71	Roger S.	Penske	57	5	Delphi Automotive Systems	General Electric
73	Andrew C.	Sigler	71	5	Honeywell International	General Electric
74	Douglas A.	Warner III	12	5	J.P. Morgan Chase	General Electric
77	C. Michael	Armstrong	9	6	AT*T	Citigroup
78	Alain J.P.	Belda	56	6	E.I. du Pont de Nemours	Citigroup
78	Alain J.P.	Belda	77	6	Alcoa	Citigroup
79	Kenneth J.	Bialkin	79	6	Microsoft	Citigroup
80	Kenneth T.	Derr	9	6	AT*T	Citigroup
91	Franklin A.	Thomas	28	6	Lucent Technologies	Citigroup
91	Franklin A.	Thomas	44	6	Conoco	Citigroup
91	Franklin A.	Thomas	77	6	Alcoa	Citigroup
91	Franklin A.	Thomas	94	6	PepsiCo	Citigroup
92	Sanford I.	Weill	9	6	AT*T	Citigroup
56	Robert E.	Rubin	4	6	Ford Motor	Citigroup
94	Kenneth L.	Lay	27	7	Compaq Computer	Enron
98	Ronnie C.	Chan	34	7	Motorola	Enron
100	Wendy L.	Gramm	21	7	State Farm Insurance Cos.	Enron
108	Frank	Savage	69	7	Lockheed Martin	Enron
112	Louis V.	Gerstner, Jr.	88	8	Bristol-Myers Squibb	Intl. Business Machines
115	Cathleen	Black	93	8	Coca-Cola	Intl. Business Machines
116	Kenneth I.	Chenault	74	8	American Express	Intl. Business Machines
119	Charles F.	Knight	14	8	SBC Communications	Intl. Business Machines
119	Charles F.	Knight	24	8	Morgan Stanley Dean Witter	Intl. Business Machines
121	Lucio A.	Noto	11	8	Philip Morris	Intl. Business Machines
